example_id                                            | status | run_time        |
./spec/features/users/sign_in_spec.rb[1:2:1]          | passed | 2.2 seconds     |
./spec/features/users/sign_in_spec.rb[1:2:2:1]        | passed | 2.64 seconds    |
./spec/features/users/sign_in_spec.rb[1:2:2:2]        | passed | 3.29 seconds    |
./spec/features/users/sign_in_spec.rb[1:2:2:3]        | passed | 3.75 seconds    |
./spec/features/users/sign_in_spec.rb[1:2:2:4]        | passed | 3.52 seconds    |
./spec/features/users/sign_out_spec.rb[1:1]           | passed | 2.1 seconds     |
./spec/features/users/sign_up_spec.rb[1:1:1]          | passed | 2.71 seconds    |
./spec/features/users/sign_up_spec.rb[1:1:2]          | passed | 2.31 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:1]          | passed | 1.42 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:2]          | passed | 1.11 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:3]          | passed | 1.15 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:4]          | passed | 1.11 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:5]          | passed | 1.12 seconds    |
./spec/features/users/sign_up_spec.rb[1:2:6]          | passed | 8.65 seconds    |
./spec/models/comment_spec.rb[1:1]                    | passed | 2.36 seconds    |
./spec/models/comment_spec.rb[1:2]                    | passed | 1.7 seconds     |
./spec/models/item_spec.rb[1:1]                       | passed | 0.64413 seconds |
./spec/models/item_spec.rb[1:2]                       | passed | 0.65524 seconds |
./spec/models/todo_spec.rb[1:1]                       | passed | 0.64454 seconds |
./spec/models/todo_spec.rb[1:2]                       | passed | 0.86737 seconds |
./spec/models/todo_spec.rb[1:3]                       | passed | 0.61982 seconds |
./spec/models/user_spec.rb[1:1]                       | passed | 0.60043 seconds |
./spec/models/user_spec.rb[1:2]                       | passed | 0.65531 seconds |
./spec/models/user_spec.rb[1:3]                       | passed | 0.61972 seconds |
./spec/requests/comments_spec.rb[1:1:1:1]             | passed | 2.21 seconds    |
./spec/requests/comments_spec.rb[1:1:1:2]             | passed | 2.18 seconds    |
./spec/requests/comments_spec.rb[1:1:2:1]             | passed | 1.33 seconds    |
./spec/requests/comments_spec.rb[1:1:2:2]             | passed | 1.36 seconds    |
./spec/requests/comments_spec.rb[1:2:1:1]             | passed | 1.82 seconds    |
./spec/requests/comments_spec.rb[1:2:1:2]             | passed | 1.94 seconds    |
./spec/requests/comments_spec.rb[1:2:2:1]             | passed | 1.21 seconds    |
./spec/requests/comments_spec.rb[1:2:2:2]             | passed | 2.31 seconds    |
./spec/requests/comments_spec.rb[1:3:1:1]             | passed | 2.2 seconds     |
./spec/requests/comments_spec.rb[1:3:2:1]             | passed | 1.38 seconds    |
./spec/requests/comments_spec.rb[1:3:2:2]             | passed | 1.55 seconds    |
./spec/requests/comments_spec.rb[1:4:1:1]             | passed | 4.18 seconds    |
./spec/requests/comments_spec.rb[1:4:1:2]             | passed | 2.23 seconds    |
./spec/requests/comments_spec.rb[1:4:2:1]             | passed | 1.91 seconds    |
./spec/requests/comments_spec.rb[1:4:2:2]             | passed | 1.68 seconds    |
./spec/requests/comments_spec.rb[1:5:1]               | passed | 1.54 seconds    |
./spec/requests/items_spec.rb[1:1:1:1]                | passed | 1.43 seconds    |
./spec/requests/items_spec.rb[1:1:1:2]                | passed | 1.31 seconds    |
./spec/requests/items_spec.rb[1:1:2:1]                | passed | 2.31 seconds    |
./spec/requests/items_spec.rb[1:1:2:2]                | passed | 1.4 seconds     |
./spec/requests/items_spec.rb[1:2:1:1]                | passed | 3.5 seconds     |
./spec/requests/items_spec.rb[1:2:1:2]                | passed | 2.94 seconds    |
./spec/requests/items_spec.rb[1:2:2:1]                | passed | 2.92 seconds    |
./spec/requests/items_spec.rb[1:2:2:2]                | passed | 2.47 seconds    |
./spec/requests/items_spec.rb[1:3:1:1]                | passed | 2.63 seconds    |
./spec/requests/items_spec.rb[1:3:2:1]                | passed | 2.61 seconds    |
./spec/requests/items_spec.rb[1:3:2:2]                | passed | 2.71 seconds    |
./spec/requests/items_spec.rb[1:4:1:1]                | passed | 3.02 seconds    |
./spec/requests/items_spec.rb[1:4:1:2]                | passed | 2.68 seconds    |
./spec/requests/items_spec.rb[1:4:2:1]                | passed | 3.01 seconds    |
./spec/requests/items_spec.rb[1:4:2:2]                | passed | 2.76 seconds    |
./spec/requests/items_spec.rb[1:5:1]                  | passed | 2.58 seconds    |
./spec/requests/todos_spec.rb[1:1:1]                  | passed | 1.24 seconds    |
./spec/requests/todos_spec.rb[1:1:2]                  | passed | 1.14 seconds    |
./spec/requests/todos_spec.rb[1:2:1:1]                | passed | 1.01 seconds    |
./spec/requests/todos_spec.rb[1:2:1:2]                | passed | 1.13 seconds    |
./spec/requests/todos_spec.rb[1:2:2:1]                | passed | 1.13 seconds    |
./spec/requests/todos_spec.rb[1:2:2:2]                | passed | 1.17 seconds    |
./spec/requests/todos_spec.rb[1:3:1:1]                | passed | 1.11 seconds    |
./spec/requests/todos_spec.rb[1:3:1:2]                | passed | 1.13 seconds    |
./spec/requests/todos_spec.rb[1:3:2:1]                | passed | 1.3 seconds     |
./spec/requests/todos_spec.rb[1:3:2:2]                | passed | 1.12 seconds    |
./spec/requests/todos_spec.rb[1:4:1:1]                | passed | 2.24 seconds    |
./spec/requests/todos_spec.rb[1:4:1:2]                | passed | 1.13 seconds    |
./spec/requests/todos_spec.rb[1:5:1]                  | passed | 1.12 seconds    |
